Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,GP,G,A,P,P/GP,Blocks/82,TOI/G,S%,Plus/Minus/82,Hits/82,G/82,A/82,P/82
8,C,27,8250000,Getzlaf,0.128,2012-2013,75.1667,25.625,58.083,83.708,1.113631435,78.27269256,20.2,0.152,26.09089752,165.8635628,27.95453306,63.36324463,91.31777769
8,C,27,6875000,Bergeron,0.107,2012-2013,71.75,17.08333,37.58333,54.66666,0.761904669,48.80952381,19.3,0.08,46.85714286,54.66666667,19.52380571,42.95237714,62.47618286
8,C,27,5750000,Zajac,0.089,2011-2012,15,2,4,6,0.4,16.4,17.36666667,0.08,-16.4,60.13333333,10.93333333,21.86666667,32.8
7,C,27,11000000,Tavares,0.138,2017-2018,82,37,47,84,1.024390244,34,19.93333333,0.144,-12,30,37,47,84
7,C,27,7142857,Hayes,0.09,2018-2019,71,19,35,54,0.76056338,17.32394366,18.28333333,0.1218,-2.309859155,66.98591549,21.94366197,40.42253521,62.36619718
6,C,27,6000000,Nelson,0.075,2018-2019,82,25,28,53,0.646341463,55,17.96666667,0.1381,20,51,25,28,53
6,C,27,3500000,Tanev,0.043,2018-2019,80,14,15,29,0.3625,83.025,14.11666667,0.1102,9.225,284.95,14.35,15.375,29.725
6,C,27,5000000,Pageau,0.061,2019-2020,78.48571429,30.45714286,18.74285714,49.2,0.626865672,64.86567164,19.15,0.1722,4.895522388,156.6567164,31.82089552,19.58208955,51.40298507
6,C,27,5000000,Marchessault,0.067,2016-2017,75,30,21,51,0.68,18.58666667,16.91666667,0.155,-22.96,114.8,32.8,22.96,55.76
6,C,27,5250000,Coyle,0.064,2018-2019,21,2,4,6,0.285714286,218.6666667,16.78333333,0.0774,-7.80952381,300.6666667,7.80952381,15.61904762,23.42857143
5,C,27,4550000,Anisimov,0.062,2014-2015,52,7,20,27,0.519230769,41,16.38333333,0.08,-9.461538462,52.03846154,11.03846154,31.53846154,42.57692308
4,C,27,1800000,Glendening,0.025,2015-2016,81,8,13,21,0.259259259,71.87654321,14.58333333,0.091,4.049382716,144.7654321,8.098765432,13.16049383,21.25925926
2,C,27,4500000,Strome,0.055,2019-2020,82,21.08571429,48.02857143,69.11428571,0.842857143,37.48571429,19.58333333,0.1169,24.6,52.71428571,21.08571429,48.02857143,69.11428571
2,C,27,3375000,Dzingel,0.041,2018-2019,78,26,30,56,0.717948718,39.94871795,16.81666667,0.1635,-9.461538462,56.76923077,27.33333333,31.53846154,58.87179487
2,C,27,2000000,Namestikov,0.025,2019-2020,76.14285714,19.91428571,16.4,36.31428571,0.476923077,59.29230769,15.05,0.1735,-6.307692308,136.2461538,21.44615385,17.66153846,39.10769231
2,C,27,1500000,Cousins,0.018,2019-2020,76.14285714,11.71428571,17.57142857,29.28571429,0.384615385,39.10769231,13.51666667,0.087,0,114.8,12.61538462,18.92307692,31.53846154
2,C,27,850000,Par Lindholm,0.01,2018-2019,65,1,12,13,0.2,69.38461538,11.35,0.0154,6.307692308,73.16923077,1.261538462,15.13846154,16.4
2,C,27,750000,Rooney,0.009,2019-2020,57.4,4.685714286,5.857142857,10.54285714,0.183673469,53.55102041,11.73333333,0.068,13.3877551,107.1020408,6.693877551,8.367346939,15.06122449
2,C,27,725000,Blackwell,0.009,2019-2020,31.62857143,3.514285714,8.2,11.71428571,0.37037037,69.85185185,10.95,0.097,21.25925926,130.5925926,9.111111111,21.25925926,30.37037037
1,C,27,2250000,Janmark,0.028,2019-2020,72.62857143,7.028571429,17.57142857,24.6,0.338709677,48.93548387,14.61666667,0.0698,-6.612903226,29.09677419,7.935483871,19.83870968,27.77419355
8,C,28,10000000,Kopitar,0.14,2014-2015,79,16,48,64,0.810126582,46.70886076,19.38333333,0.119,-2.075949367,107.9493671,16.60759494,49.82278481,66.43037975
8,C,28,6500000,Schenn,0.08,2018-2019,72,17,37,54,0.75,35.30555556,18.58333333,0.1069,3.416666667,126.4166667,19.36111111,42.13888889,61.5
7,C,28,7000000,Lee,0.086,2018-2019,82,28,23,51,0.62195122,51,17.08333333,0.1373,20,103,28,23,51
7,C,28,8000000,Duchene,0.098,2018-2019,73,31,39,70,0.95890411,44.93150685,18.83333333,0.1802,-3.369863014,31.45205479,34.82191781,43.80821918,78.63013699
6,C,28,5350000,Backlund,0.071,2016-2017,81,22,31,53,0.654320988,41.50617284,17.6,0.112,9.111111111,55.67901235,22.27160494,31.38271605,53.65432099
6,C,28,7250000,Krejci,0.105,2013-2014,80,19,50,69,0.8625,57.4,19.11666667,0.112,39.975,76.875,19.475,51.25,70.725
6,C,28,5850000,Dubinsky,0.085,2013-2014,76,16,34,50,0.657894737,39.92105263,18.78333333,0.085,5.394736842,252.4736842,17.26315789,36.68421053,53.94736842
5,C,28,3500000,Eller,0.047,2016-2017,81,12,13,25,0.308641975,30.37037037,13.9,0.104,15.18518519,71.87654321,12.14814815,13.16049383,25.30864198
5,C,28,5825000,Henrique,0.073,2017-2018,57,20,16,36,0.631578947,87.75438596,17.78333333,0.159,24.45614035,87.75438596,28.77192982,23.01754386,51.78947368
4,C,28,3250000,Zack Smith,0.045,2015-2016,81,25,11,36,0.444444444,26.32098765,15.4,0.207,16.19753086,177.1604938,25.30864198,11.13580247,36.44444444
4,C,28,4125000,Perreault,0.057,2015-2016,71,9,32,41,0.577464789,38.11267606,16.55,0.068,-12.70422535,95.85915493,10.3943662,36.95774648,47.35211268
3,C,28,1200000,Sceviour,0.016,2016-2017,80,9,15,24,0.3,65.6,14.63333333,0.052,-16.4,110.7,9.225,15.375,24.6
3,C,28,1350000,Wagner,0.017,2018-2019,76,12,7,19,0.25,41,13.45,0.0889,3.236842105,266.5,12.94736842,7.552631579,20.5
3,C,28,1666667,Acciari,0.02,2018-2019,72,6,8,14,0.194444444,41,12.98333333,0.0606,-3.416666667,251.6944444,6.833333333,9.111111111,15.94444444
3,C,28,1000000,Carpenter,0.012,2018-2019,68,5,13,18,0.264705882,20.5,12.61666667,0.049,-7.235294118,151.9411765,6.029411765,15.67647059,21.70588235
