Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,GP,G,A,P,P/GP,Blocks/82,TOI/G,S%,Plus/Minus/82,Hits/82,G/82,A/82,P/82
12,C,24,8700000,Crosby,0.145,2011-2012,22,8,29,37,1.681818182,26.09090909,18.46666667,0.107,55.90909091,41,29.81818182,108.0909091,137.9090909
11,C,25,5272727,Carter,0.089,2009-2010,74,33,28,61,0.824324324,37.67567568,19.3,0.103,2.216216216,66.48648649,36.56756757,31.02702703,67.59459459
10,C,23,6000000,Jordan Staal,0.1,2011-2012,62,25,25,50,0.806451613,30.41935484,20.05,0.168,14.5483871,133.5806452,33.06451613,33.06451613,66.12903226
8,C,20,12500000,McDavid,0.167,2016-2017,82,30,70,100,1.219512195,29,21.13333333,0.12,27,34,30,70,100
8,C,20,10000000,Eichel,0.133,2016-2017,61,24,33,57,0.93442623,47.04918033,19.91666667,0.096,-17.47540984,34.95081967,32.26229508,44.36065574,76.62295082
8,C,21,7150000,Keller,0.088,2018-2019,82,14,33,47,0.573170732,21,18.23333333,0.07,-21,16,14,33,47
8,C,23,6125000,Scheiefle,0.084,2015-2016,71,29,32,61,0.85915493,41.57746479,18.55,0.149,18.47887324,61.21126761,33.49295775,36.95774648,70.45070423
8,C,24,8000000,Johansen,0.107,2016-2017,82,14,47,61,0.743902439,28,18.83333333,0.091,1,77,14,47,61
8,C,25,7800000,Kuznetsov,0.104,2016-2017,82,19,40,59,0.719512195,18,16.95,0.112,18,57,19,40,59
8,C,25,8275000,Giroux,0.129,2012-2013,82,22.20833333,59.79166667,82,1,49.54166667,21.16666667,0.095,-11.95833333,97.375,22.20833333,59.79166667,82
8,C,26,5900000,Karlsson,0.072,2018-2019,82,24,32,56,0.682926829,39,11.5,0.1519,1,67,24,32,56
8,C,26,9850000,Seguin,0.124,2017-2018,82,40,38,78,0.951219512,44,20.91666667,0.119,12,74,40,38,78
8,C,26,8500000,Stammer,0.116,2015-2016,77,36,28,64,0.831168831,37.27272727,19.75,0.167,3.194805195,116.0779221,38.33766234,29.81818182,68.15584416
8,C,26,10500000,Toews,0.152,2013-2014,76,28,40,68,0.894736842,21.57894737,20.46666667,0.145,28.05263158,31.28947368,30.21052632,43.15789474,73.36842105
8,C,26,9500000,Malkin,0.148,2012-2013,52.95833333,15.375,41,56.375,1.064516129,29.09677419,19.7,0.091,13.22580645,31.74193548,23.80645161,63.48387097,87.29032258
7,C,20,6300000,Nate Mac,0.086,2015-2016,72,21,31,52,0.722222222,60.36111111,18.86666667,0.086,-4.555555556,52.38888889,23.91666667,35.30555556,59.22222222
7,C,20,7224286,Hischier,0.089,2018-2019,69,17,30,47,0.68115942,52.28985507,18.1,0.1063,0,62.98550725,20.20289855,35.65217391,55.85507246
7,C,20,6000000,RNH,0.093,2012-2013,68.33333333,6.833333333,34.16666667,41,0.6,55.35,18.86666667,0.051,6.15,55.35,8.2,41,49.2
7,C,21,6375000,Monahan,0.087,2015-2016,81,27,36,63,0.777777778,37.45679012,19.16666667,0.137,-6.074074074,38.4691358,27.33333333,36.44444444,63.77777778
7,C,23,5850000,Shmaltz,0.074,2018-2019,23,2,9,11,0.47826087,42.7826087,17.83333333,0.1129,-14.26086957,17.82608696,7.130434783,32.08695652,39.2173913
7,C,24,7500000,O'Reilly,0.105,2014-2015,82,17,38,55,0.670731707,48,19.71666667,0.099,-5,38,17,38,55
7,C,25,2857143,Sissons,0.035,2018-2019,75,15,15,30,0.4,56.85333333,16.05,0.1351,21.86666667,119.1733333,16.4,16.4,32.8
7,C,26,4450000,Killorn,0.061,2015-2016,81,14,26,40,0.49382716,23.28395062,16.8,0.091,14.17283951,76.9382716,14.17283951,26.32098765,40.49382716
7,C,26,5000000,Johnson,0.067,2016-2017,66,19,26,45,0.681818182,37.27272727,18.81666667,0.146,-6.212121212,57.15151515,23.60606061,32.3030303,55.90909091
6,C,20,5900000,Barkov,0.081,2014-2015,71,16,20,36,0.507042254,40.42253521,17.5,0.13,-4.61971831,40.42253521,18.47887324,23.09859155,41.57746479
6,C,21,8500000,Drai,0.113,2016-2017,82,29,48,77,0.93902439,36,18.88333333,0.169,7,41,29,48,77
6,C,21,6000000,Forsberg,0.082,2015-2016,82,33,31,64,0.780487805,41,19.05,0.134,1,114,33,31,64
6,C,22,5500000,Konecny,0.067,2018-2019,82,24,25,49,0.597560976,45,15.26666667,0.1319,-4,65,24,25,49
6,C,22,4333333,Couturier,0.061,2014-2015,82,15,22,37,0.451219512,35,18.38333333,0.101,4,72,15,22,37
6,C,22,5500000,Bo Horvat,0.073,2016-2017,81,20,32,52,0.641975309,41.50617284,18.03333333,0.127,-7.086419753,65.80246914,20.24691358,32.39506173,52.64197531
6,C,22,4450000,Dvorak,0.056,2017-2018,78,15,22,37,0.474358974,50.46153846,13.96666667,0.0965,-19.97435897,56.76923077,15.76923077,23.12820513,38.8974359
6,C,22,4750000,Trochek,0.065,2015-2016,76,25,28,53,0.697368421,44.23684211,17.76666667,0.144,16.18421053,134.8684211,26.97368421,30.21052632,57.18421053
6,C,22,4100000,Bjugstad,0.059,2013-2014,76,16,22,38,0.5,24.81578947,16.21666667,0.086,-15.10526316,126.2368421,17.26315789,23.73684211,41
6,C,22,4750000,White,0.058,2018-2019,71,14,27,41,0.577464789,40.42253521,16.2,0.1138,-27.71830986,26.56338028,16.16901408,31.18309859,47.35211268
6,C,23,4850000,Lindholm,0.061,2017-2018,81,16,28,44,0.543209877,41.50617284,17.9,0.105,-8.098765432,99.20987654,16.19753086,28.34567901,44.54320988
6,C,23,4000000,Rask,0.055,2015-2016,80,21,27,48,0.6,34.85,16.98333333,0.131,-6.15,32.8,21.525,27.675,49.2
6,C,23,3800000,Rakell,0.052,2015-2016,72,20,23,43,0.597222222,34.16666667,16.06666667,0.118,-1.138888889,137.8055556,22.77777778,26.19444444,48.97222222
6,C,24,2000000,Jarnrok,0.027,2015-2016,81,16,14,30,0.37037037,24.2962963,16.13333333,0.128,1.012345679,35.43209877,16.19753086,14.17283951,30.37037037
6,C,24,3900000,Shaw,0.053,2015-2016,78,14,20,34,0.435897436,22.07692308,14.65,0.092,11.56410256,155.5897436,14.71794872,21.02564103,35.74358974
