Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,GP,G,A,P,P/GP,Blocks/82,TOI/G,S%,Plus/Minus/82,Hits/82,G/82,A/82,P/82
1,C,22,874125,Jost,0.011,2019-2020,78.48571429,9.371428571,17.57142857,26.94285714,0.343283582,22.02985075,12.76666667,0.0696,-13.46268657,70.98507463,9.791044776,18.35820896,28.14925373
1,C,22,874125,Patrick,0.011,2018-2019,72,13,18,31,0.430555556,29.61111111,15.08333333,0.113,-9.111111111,82,14.80555556,20.5,35.30555556
1,C,24,5200000,Reinhart,0.064,2019-2020,80.82857143,25.77142857,32.8,58.57142857,0.724637681,32.08695652,20.63333333,0.153,-11.88405797,42.7826087,26.14492754,33.27536232,59.42028986
1,C,24,950000,Gaudette,0.012,2019-2020,69.11428571,14.05714286,24.6,38.65714286,0.559322034,27.79661017,12.38333333,0.16,-9.728813559,40.30508475,16.6779661,29.18644068,45.86440678
1,C,24,874125,Stenlund,0.011,2019-2020,37.48571429,7.028571429,4.685714286,11.71428571,0.3125,56.375,13.98333333,0.105,5.125,48.6875,15.375,10.25,25.625
1,C,25,1200000,Grigorenko,0.015,2016-2017,75,10,13,23,0.306666667,28.42666667,13.26666667,0.118,-15.30666667,29.52,10.93333333,14.21333333,25.14666667
1,C,25,950000,Wallmark,0.012,2019-2020,70.28571429,12.88571429,14.05714286,26.94285714,0.383333333,35.53333333,12.78333333,0.1429,0,77.9,15.03333333,16.4,31.43333333
1,C,25,975000,Kahun,0.012,2019-2020,65.6,14.05714286,22.25714286,36.31428571,0.553571429,32.21428571,13.28333333,0.1379,11.71428571,7.321428571,17.57142857,27.82142857,45.39285714
1,C,25,750000,Hayden,0.009,2019-2020,50.37142857,3.514285714,1.171428571,4.685714286,0.093023256,51.48837209,9.716666667,0.077,-3.813953488,165.9069767,5.720930233,1.906976744,7.627906977
1,C,25,700000,Suomela,0.009,2019-2020,23.42857143,1.171428571,7.028571429,8.2,0.35,20.5,9.683333333,0.056,16.4,110.7,4.1,24.6,28.7
1,C,26,1000000,Hinostroza,0.012,2019-2020,79.65714286,5.857142857,19.91428571,25.77142857,0.323529412,31.35294118,13.1,0.0379,1.205882353,61.5,6.029411765,20.5,26.52941176
1,C,26,700000,Simon,0.009,2019-2020,74.97142857,8.2,17.57142857,25.77142857,0.34375,25.625,14.4,0.0686,-11.53125,73.03125,8.96875,19.21875,28.1875
1,C,26,1050000,Gally,0.013,2019-2020,69.11428571,9.371428571,18.74285714,28.11428571,0.406779661,23.62711864,12.3,0.093,-6.949152542,72.27118644,11.11864407,22.23728814,33.3559322
1,C,26,2250000,Wennberg,0.028,2019-2020,66.77142857,5.857142857,19.91428571,25.77142857,0.385964912,44.59649123,16.68333333,0.0694,-7.192982456,30.21052632,7.192982456,24.45614035,31.64912281
1,C,26,700000,Jankowski,0.009,2019-2020,65.6,5.857142857,2.342857143,8.2,0.125,48.32142857,11.1,0.132,-17.57142857,20.5,7.321428571,2.928571429,10.25
1,C,26,700000,Toninato,0.009,2019-2020,53.88571429,4.685714286,8.2,12.88571429,0.239130435,49.91304348,11.15,0.105,7.130434783,101.6086957,7.130434783,12.47826087,19.60869565
1,C,26,700000,Caggiula,0.009,2019-2020,46.85714286,10.54285714,7.028571429,17.57142857,0.375,32.8,11.81666667,0.161,-6.15,166.05,18.45,12.3,30.75
1,C,26,750000,Shore,0.009,2017-2018,9,1,2,3,0.333333333,182.2222222,14.16666667,0.068,0,501.1111111,9.111111111,18.22222222,27.33333333
2,C,22,1487500,Eriksson Ek,0.018,2018-2019,58,7,7,14,0.24137931,33.93103448,13.5,0.0631,-9.896551724,165.4137931,9.896551724,9.896551724,19.79310345
2,C,22,1900000,Donato,0.023,2018-2019,56,10,15,25,0.446428571,30.75,13.7,0.0719,-21.96428571,35.14285714,14.64285714,21.96428571,36.60714286
2,C,22,700000,Gambrell,0.009,2018-2019,8,0,0,0,0,10.25,8.633333333,0,10.25,133.25,0,0,0
2,C,23,1475000,Barbashev,0.018,2018-2019,80,14,12,26,0.325,31.775,11.51666667,0.2333,-4.1,88.15,14.35,12.3,26.65
2,C,23,2950000,Fabbri,0.036,2019-2020,71.45714286,17.57142857,19.91428571,37.48571429,0.524590164,18.81967213,16.15,0.1351,-44.36065574,100.8196721,20.16393443,22.85245902,43.01639344
2,C,23,2550000,Bennett,0.031,2018-2019,71,13,14,27,0.38028169,31.18309859,13.28333333,0.113,-6.929577465,139.7464789,15.01408451,16.16901408,31.18309859
