Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,GP,G,A,P,P/GP,Blocks,TOI/G,S%,Plus/Minus,Hits,Blocks/82,Plus/minus/82,Hits/82,G/82,A/82,P/82
1,D,38,3500000,Hainsey,0.0429,2018-2019,81,5,18,23,0.283950617,144,20.25,0.0620,30,91,145.7777778,30.37037037,92.12345679,5.061728395,18.22222222,23.28395062
2,D,34,1700000,Coburn,0.0210,2018-2019,74,4,19,23,0.310810811,62,16.11666667,0.0350,4,96,68.7027027,4.432432432,106.3783784,4.432432432,21.05405405,25.48648649
2,D,34,1500000,Sekera,0.0180,2019-2020,66.77142857,2.342857143,7.028571429,9.371428571,0.140350877,21,16.48333333,0.0000,9,17,30.21052632,12.94736842,24.45614035,2.877192982,8.631578947,11.50877193
1,D,33,1750000,Polak,0.0220,2018-2019,77,1,8,9,0.116883117,152,19.16666667,0.0130,6,191,161.8701299,6.38961039,203.4025974,1.064935065,8.519480519,9.584415584
2,D,33,6000000,Edler,0.0750,2018-2019,56,10,24,34,0.607142857,166,24.56666667,0.0780,13,127,243.0714286,19.03571429,185.9642857,14.64285714,35.14285714,49.78571429
1,D,33,1150000,Johnson,0.0140,2019-2020,78.48571429,3.514285714,9.371428571,12.88571429,0.164179104,97,19.46666667,0.0480,-1,183,118.7164179,-1.223880597,223.9701493,3.671641791,9.791044776,13.46268657
2,D,33,1800000,Braun,0.0220,2019-2020,72.62857143,3.514285714,18.74285714,22.25714286,0.306451613,84,17.26666667,0.0430,-2,94,111.0967742,-2.64516129,124.3225806,3.967741935,21.16129032,25.12903226
3,D,32,5500000,Stralman,0.0670,2018-2019,47,2,15,17,0.361702128,71,20.51666667,0.0350,12,59,123.8723404,20.93617021,102.9361702,3.489361702,26.17021277,29.65957447
2,D,32,1750000,Gunnarsson,0.0210,2018-2019,25,3,4,7,0.28,35,15.93333333,0.1430,8,11,114.8,26.24,36.08,9.84,13.12,22.96
2,D,32,1700000,Holden,0.0210,2018-2019,61,3,12,15,0.245901639,76,18.3,0.0390,5,104,102.1639344,6.721311475,139.8032787,4.032786885,16.13114754,20.16393443
1,D,32,700000,Irwin,0.0090,2019-2020,42.17142857,0,3.514285714,3.514285714,0.083333333,24,22.45,0.0000,-15,27,54.66666667,-34.16666667,61.5,0,6.833333333,6.833333333
5,D,31,5000000,Greene,0.0725,2013-2014,82,8,24,32,0.390243902,129,24.58333333,0.0600,3,87,129,3,87,8,24,32
6,D,31,6750000,Giordano,0.0920,2014-2015,61,11,37,48,0.786885246,128,25.16666667,0.0700,13,59,172.0655738,17.47540984,79.31147541,14.78688525,49.73770492,64.52459016
7,D,31,6000000,Boychuk,0.0820,2014-2015,72,9,26,35,0.486111111,149,21.68333333,0.0470,15,171,169.6944444,17.08333333,194.75,10.25,29.61111111,39.86111111
8,D,31,8000000,Burns,0.1100,2015-2016,82,27,48,75,0.914634146,142,24.86666667,0.0910,-5,69,142,-5,69,27,48,75
2,D,31,5000000,Hjallmarsson,0.0630,2017-2018,48,1,8,9,0.1875,118,20.7,0.0310,-3,16,201.5833333,-5.125,27.33333333,1.708333333,13.66666667,15.375
2,D,31,737500,Fedun,0.0090,2018-2019,54,4,7,11,0.203703704,58,13.85,0.0470,2,19,88.07407407,3.037037037,28.85185185,6.074074074,10.62962963,16.7037037
3,D,31,3900000,Shattenkirk,0.0480,2019-2020,82,9.371428571,30.45714286,39.82857143,0.485714286,66,24.85,0.0610,22,62,77.31428571,25.77142857,72.62857143,9.371428571,30.45714286,39.82857143
1,D,31,875000,Biega,0.0110,2019-2020,57.4,0,3.514285714,3.514285714,0.06122449,46,16.41666667,0.0000,-9,115,76.97959184,-15.06122449,192.4489796,0,5.020408163,5.020408163
2,D,31,2000000,Borowiecki,0.0250,2019-2020,62.08571429,8.2,12.88571429,21.08571429,0.339622642,120,17.93333333,0.1110,1,199,185.6603774,1.547169811,307.8867925,10.83018868,17.01886792,27.8490566
4,D,31,5625000,Muzz,0.0700,2019-2020,62.08571429,7.028571429,19.91428571,26.94285714,0.433962264,110,21.6,0.0610,12,109,170.1886792,18.56603774,168.6415094,9.283018868,26.30188679,35.58490566
8,D,30,6875000,Seabrook,0.0960,2014-2015,82,8,23,31,0.37804878,141,22.18333333,0.0440,-3,135,141,-3,135,8,23,31
5,D,30,5475000,Goligoski,0.0750,2015-2016,82,5,32,37,0.451219512,159,23.83333333,0.0390,21,100,159,21,100,5,32,37
4,D,30,4000000,Russell,0.0530,2016-2017,68,1,12,13,0.191176471,210,23.08333333,0.0570,5,40,253.2352941,6.029411765,48.23529412,1.205882353,14.47058824,15.67647059
8,D,30,7000000,Vlasic,0.0930,2016-2017,75,6,22,28,0.373333333,144,21.05,0.0300,4,18,157.44,4.373333333,19.68,6.56,24.05333333,30.61333333
2,D,30,700000,Hunt,0.0090,2018-2019,42,5,7,12,0.285714286,18,14.76666667,0.0640,-2,11,35.14285714,-3.904761905,21.47619048,9.761904762,13.66666667,23.42857143
1,D,30,750000,Ruhwedel,0.0090,2018-2019,18,1,1,2,0.111111111,16,16.28333333,0.0450,-9,40,72.88888889,-41,182.2222222,4.555555556,4.555555556,9.111111111
4,D,30,4500000,Tanev,0.0550,2019-2020,80.82857143,2.342857143,21.08571429,23.42857143,0.289855072,159,19.53333333,0.0440,4,32,188.9565217,4.753623188,38.02898551,2.376811594,21.39130435,23.76811594
3,D,30,2500000,Gudas,0.0310,2019-2020,73.8,2.342857143,15.22857143,17.57142857,0.238095238,75,16.73333333,0.0220,15,164,97.61904762,19.52380952,213.4603175,2.603174603,16.92063492,19.52380952
2,D,30,737500,Bitetto,0.0090,2019-2020,59.74285714,0,9.371428571,9.371428571,0.156862745,50,15.16666667,0.0000,3,145,80.39215686,4.823529412,233.1372549,0,12.8627451,12.8627451
4,D,30,3275000,Scandella,0.0400,2019-2020,72.62857143,4.685714286,9.371428571,14.05714286,0.193548387,60,17.58333333,0.0520,14,78,79.35483871,18.51612903,103.1612903,5.290322581,10.58064516,15.87096774
