Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,GP,G,A,P,P/GP,Blocks,TOI/G,S%,Plus/Minus,Hits,Blocks/82,Plus/minus/82,Hits/82,G/82,A/82,P/82
14,D,26,7857143,Weber,0.1310,2011-2012,78,19,30,49,0.628205128,140,26.16666667,0.0830,21,177,147.1794872,22.07692308,186.0769231,19.97435897,31.53846154,51.51282051
13,D,26,5538462,Keith,0.0980,2008-2009,77,8,36,44,0.571428571,92,25.56666667,0.0460,33,40,97.97402597,35.14285714,42.5974026,8.519480519,38.33766234,46.85714286
8,D,20,7500000,Ekblad,0.1030,2015-2016,78,15,21,36,0.461538462,59,21.68333333,0.0820,18,87,62.02564103,18.92307692,91.46153846,15.76923077,22.07692308,37.84615385
8,D,22,8000000,Chabot,0.0980,2018-2019,70,14,41,55,0.785714286,112,24.28333333,0.0760,-12,71,131.2,-14.05714286,83.17142857,16.4,48.02857143,64.42857143
8,D,23,4875000,Matheson,0.0650,2016-2017,81,7,10,17,0.209876543,118,21.05,0.0390,-5,69,119.4567901,-5.061728395,69.85185185,7.086419753,10.12345679,17.20987654
8,D,24,6250000,Morrissey,0.0770,2018-2019,59,6,25,31,0.525423729,107,22.4,0.0630,9,55,148.7118644,12.50847458,76.44067797,8.338983051,34.74576271,43.08474576
8,D,25,9000000,Subban,0.1300,2013-2014,82,10,43,53,0.646341463,125,24.61666667,0.0490,-4,135,125,-4,135,10,43,53
8,D,25,7875000,Hedman,0.1080,2015-2016,78,10,37,47,0.602564103,132,24.5,0.0960,21,93,138.7692308,22.07692308,97.76923077,10.51282051,38.8974359,49.41025641
8,D,25,6500000,Fowler,0.0870,2016-2017,80,11,28,39,0.4875,134,24.85,0.0590,7,29,137.35,7.175,29.725,11.275,28.7,39.975
8,D,26,7250000,Letang,0.1130,2012-2013,59.79166667,8.541666667,56.375,64.91666667,1.085714286,59,25.63333333,0.0530,16,43,138.2285714,37.48571429,100.7428571,11.71428571,77.31428571,89.02857143
8,D,26,8250000,OEL,0.1040,2017-2018,82,14,28,42,0.512195122,79,23.68333333,0.0690,-28,160,79,-28,160,14,28,42
7,D,21,4167000,Klefbom,0.0570,2014-2015,60,2,18,20,0.333333333,102,22,0.0200,-21,45,139.4,-28.7,61.5,2.733333333,24.6,27.33333333
7,D,21,5000000,Girard,0.0610,2018-2019,82,4,23,27,0.329268293,92,21.31666667,0.0420,8,46,92,8,46,4,23,27
7,D,22,3857143,Hamonic,0.0600,2012-2013,82,5.125,11.95833333,17.08333333,0.208333333,109,22.8,0.0360,-8,59,186.2083333,-13.66666667,100.7916667,5.125,11.95833333,17.08333333
7,D,22,4250000,Klingberg,0.0620,2014-2015,65,11,29,40,0.615384615,77,21.83333333,0.1120,5,54,97.13846154,6.307692308,68.12307692,13.87692308,36.58461538,50.46153846
7,D,23,5500000,Leddy,0.0800,2013-2014,82,7,24,31,0.37804878,45,16.36666667,0.0570,10,52,45,10,52,7,24,31
7,D,23,5300000,Slavin,0.0710,2016-2017,82,5,29,34,0.414634146,161,23.43333333,0.0510,23,35,161,23,35,5,29,34
7,D,23,5200000,Theodore,0.0650,2017-2018,61,6,23,29,0.475409836,70,20.35,0.0420,5,29,94.09836066,6.721311475,38.98360656,8.06557377,30.91803279,38.98360656
7,D,25,4500000,Zaitsev,0.0620,2016-2017,82,4,32,36,0.43902439,136,22.01666667,0.0380,-22,176,136,-22,176,4,32,36
7,D,25,8000000,Trouba,0.0980,2018-2019,82,8,42,50,0.609756098,171,22.88333333,0.0490,8,112,171,8,112,8,42,50
6,D,20,4600000,Chychrun,0.0580,2017-2018,50,4,10,14,0.28,95,22.43333333,0.0810,2,75,155.8,3.28,123,6.56,16.4,22.96
6,D,21,4166667,Brodin-1,0.0600,2013-2014,79,8,11,19,0.240506329,117,23.9,0.1080,0,33,121.443038,0,34.25316456,8.303797468,11.41772152,19.72151899
6,D,21,5400000,Risto,0.0740,2015-2016,82,9,32,41,0.5,137,25.28333333,0.0450,-21,139,137,-21,139,9,32,41
6,D,21,5400000,Jones,0.0740,2015-2016,82,3,28,31,0.37804878,118,22.08333333,0.0190,-14,86,118,-14,86,3,28,31
6,D,21,4083333,Maatta,0.0570,2015-2016,67,6,13,19,0.28358209,87,19.96666667,0.0630,27,81,106.4776119,33.04477612,99.13432836,7.343283582,15.91044776,23.25373134
6,D,21,4950000,Hanifin,0.0620,2017-2018,79,10,22,32,0.405063291,69,18.86666667,0.0610,-20,81,71.62025316,-20.75949367,84.07594937,10.37974684,22.83544304,33.21518987
6,D,22,5750000,Hamilton,0.0810,2014-2015,72,10,32,42,0.583333333,53,21.33333333,0.0530,-3,103,60.36111111,-3.416666667,117.3055556,11.38888889,36.44444444,47.83333333
6,D,22,4166667,Larsson,0.0580,2014-2015,64,3,21,24,0.375,124,20.96666667,0.0330,2,93,158.875,2.5625,119.15625,3.84375,26.90625,30.75
6,D,22,5250000,Hampus Lindholm,0.0720,2015-2016,80,10,18,28,0.35,68,21.76666667,0.0670,7,115,69.7,7.175,117.875,10.25,18.45,28.7
6,D,22,5000000,Rielly,0.0700,2015-2016,47,3,24,27,0.574468085,122,23.23333333,0.0540,6,58,212.8510638,10.46808511,101.1914894,5.234042553,41.87234043,47.10638298
6,D,22,6750000,Provorov,0.0830,2018-2019,82,7,19,26,0.317073171,149,25.11666667,0.0480,-16,123,149,-16,123,7,19,26
6,D,23,3850000,Murphy,0.0530,2015-2016,78,6,11,17,0.217948718,139,20.5,0.0590,5,175,146.1282051,5.256410256,183.974359,6.307692308,11.56410256,17.87179487
6,D,23,4166667,Severson,0.0560,2016-2017,80,3,28,31,0.3875,72,20.35,0.0240,-31,79,73.8,-31.775,80.975,3.075,28.7,31.775
6,D,23,4550000,Andersson,0.0560,2018-2019,79,2,17,19,0.240506329,83,16.03333333,0.0170,17,52,86.15189873,17.64556962,53.97468354,2.075949367,17.64556962,19.72151899
6,D,24,4500000,Gostisbehere,0.0620,2016-2017,76,7,32,39,0.513157895,94,19.71666667,0.0350,-21,43,101.4210526,-22.65789474,46.39473684,7.552631579,34.52631579,42.07894737
6,D,24,5250000,Skjei,0.0660,2017-2018,82,4,21,25,0.304878049,119,21.23333333,0.0630,-27,127,119,-27,127,4,21,25
6,D,24,5800000,Lindell,0.0730,2018-2019,82,11,21,32,0.390243902,161,24.33333333,0.0830,14,143,161,14,143,11,21,32
6,D,25,3750000,Ekholm,0.0530,2014-2015,80,7,11,18,0.225,102,19.01666667,0.0810,12,57,104.55,12.3,58.425,7.175,11.275,18.45
6,D,25,4100000,Doumolin,0.0550,2016-2017,70,1,14,15,0.214285714,99,20.55,0.0130,0,113,115.9714286,0,132.3714286,1.171428571,16.4,17.57142857
6,D,25,5100000,Orlov,0.0680,2016-2017,82,6,27,33,0.402439024,94,19.7,0.0480,30,122,94,30,122,6,27,33
6,D,26,5000000,DeKeyser,0.0680,2015-2016,78,8,12,20,0.256410256,107,21.8,0.1110,2,88,112.4871795,2.102564103,92.51282051,8.41025641,12.61538462,21.02564103
5,D,23,6000000,Dumba,0.0750,2017-2018,82,14,36,50,0.609756098,112,23.81666667,0.0800,15,136,112,15,136,14,36,50
5,D,23,4025175,Pettersson,0.0490,2019-2020,69,2.342857143,23.42857143,25.77142857,0.373498965,84,19.4,0.0250,9,106,116.9391304,12.52919255,147.5660455,2.78426501,27.8426501,30.62691511
