Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,GP,G,A,P,P/GP,Blocks,TOI/G,S%,Plus/Minus,Hits,Blocks/82,Plus/minus/82,Hits/82,G/82,A/82,P/82
1,D,22,735000,Mete,0.0090,2019-2020,59.74285714,4.685714286,8.2,12.88571429,0.215686275,60,16,0.0700,5,20,96.47058824,8.039215686,32.15686275,6.431372549,11.25490196,17.68627451
1,D,23,787500,Kylington,0.0100,2019-2020,56.22857143,2.342857143,5.857142857,8.2,0.145833333,34,13.7,0.0540,-6,36,58.08333333,-10.25,61.5,3.416666667,8.541666667,11.95833333
1,D,23,874125,Dermott,0.0110,2019-2020,65.6,4.685714286,8.2,12.88571429,0.196428571,58,17.31666667,0.0620,14,76,84.92857143,20.5,111.2857143,5.857142857,10.25,16.10714286
1,D,23,800000,Siegenthaler,0.0100,2019-2020,78.48571429,2.342857143,8.2,10.54285714,0.134328358,105,15.73333333,0.0410,11,51,128.5074627,13.46268657,62.41791045,2.447761194,8.567164179,11.01492537
1,D,24,1400000,Mueller,0.0172,2018-2019,53,1,10,11,0.20754717,61,18.06666667,0.0260,-3,75,94.37735849,-4.641509434,116.0377358,1.547169811,15.47169811,17.01886792
1,D,24,3200000,Zadorov,0.0390,2019-2020,74.97142857,4.685714286,10.54285714,15.22857143,0.203125,175,17.76666667,0.0620,6,23,224.21875,7.6875,29.46875,5.125,11.53125,16.65625
1,D,24,700000,Mermis,0.0090,2019-2020,11.71428571,1.171428571,3.514285714,4.685714286,0.4,20,19.21666667,0.0590,7,21,164,57.4,172.2,8.2,24.6,32.8
1,D,24,750000,Jaros,0.0090,2019-2020,15.22857143,0,3.514285714,3.514285714,0.230769231,12,14.36666667,0.0150,-2,14,75.69230769,-12.61538462,88.30769231,0,18.92307692,18.92307692
1,D,25,1000000,Djoos,0.0120,2019-2020,10.54285714,1.171428571,2.342857143,3.514285714,0.333333333,12,19.1,0.0830,2,2,109.3333333,18.22222222,18.22222222,9.111111111,18.22222222,27.33333333
1,D,25,925000,Koekkoek,0.0100,2019-2020,49.2,1.171428571,10.54285714,11.71428571,0.238095238,58,16.75,0.0210,3,64,113.2380952,5.857142857,124.952381,1.952380952,17.57142857,19.52380952
1,D,26,1000000,Lyubushkin,0.0120,2019-2020,59.74285714,0,4.685714286,4.685714286,0.078431373,53,14.18333333,0.0000,4,151,85.21568627,6.431372549,242.7843137,0,6.431372549,6.431372549
1,D,26,3850000,Montour,0.0470,2019-2020,63.25714286,5.857142857,15.22857143,21.08571429,0.333333333,53,19.5,0.0580,13,60,80.48148148,19.74074074,91.11111111,7.592592593,19.74074074,27.33333333
1,D,26,1250000,Ceci,0.0150,2019-2020,65.6,1.171428571,8.2,9.371428571,0.142857143,79,20.53333333,0.0210,7,92,115.6785714,10.25,134.7142857,1.464285714,10.25,11.71428571
2,D,22,2850000,Carlo,0.0350,2018-2019,72,2,8,10,0.138888889,88,20.91666667,0.0170,22,134,100.2222222,25.05555556,152.6111111,2.277777778,9.111111111,11.38888889
2,D,22,850000,Lauzon,0.0100,2018-2019,16,1,0,1,0.0625,23,15.53333333,0.0910,-1,32,117.875,-5.125,164,5.125,0,5.125
2,D,22,850000,Jones,0.0100,2018-2019,17,1,5,6,0.352941176,18,19.8,0.0480,-9,20,86.82352941,-43.41176471,96.47058824,4.823529412,24.11764706,28.94117647
2,D,23,3250000,Sanheim,0.0400,2018-2019,82,9,26,35,0.426829268,133,19.56666667,0.0740,-4,45,133,-4,45,9,26,35
2,D,23,3000000,Pionk,0.0370,2018-2019,73,6,20,26,0.356164384,98,21.16666667,0.0450,-16,138,110.0821918,-17.97260274,155.0136986,6.739726027,22.46575342,29.20547945
2,D,23,1200000,Jacob Larsson,0.0150,2019-2020,70.28571429,2.342857143,10.54285714,12.88571429,0.183333333,57,16.15,0.0340,-9,34,77.9,-12.3,46.46666667,2.733333333,12.3,15.03333333
2,D,23,725000,Carlsson,0.0090,2019-2020,7.028571429,0,0,0,0,0,10.88333333,0.0000,-1,5,0,-13.66666667,68.33333333,0,0,0
2,D,23,725000,Whitecloud,0.0090,2019-2020,18.74285714,0,1.171428571,1.171428571,0.0625,16,14.31666667,0.0000,3,10,82,15.375,51.25,0,5.125,5.125
2,D,24,700000,Roy,0.0090,2018-2019,25,2,4,6,0.24,47,17.13333333,0.0590,-1,38,154.16,-3.28,124.64,6.56,13.12,19.68
2,D,24,850000,Dahlstrom,0.0110,2018-2019,15,0,1,1,0.066666667,13,14.76666667,0.0000,-4,5,71.06666667,-21.86666667,27.33333333,0,5.466666667,5.466666667
2,D,24,1300000,Haydn Fleury,0.0160,2019-2020,52.71428571,4.685714286,11.71428571,16.4,0.311111111,45,13.66666667,0.0620,-2,48,82,-3.644444444,87.46666667,7.288888889,18.22222222,25.51111111
2,D,24,4800000,Deangelo,0.0590,2019-2020,79.65714286,17.57142857,44.51428571,62.08571429,0.779411765,57,19.28333333,0.1010,12,48,68.73529412,14.47058824,57.88235294,18.08823529,45.82352941,63.91176471
2,D,24,900000,Wolanin,0.0110,2019-2020,3.514285714,0,0,0,0,4,17.68333333,0.0000,0,0,109.3333333,0,0,0,0,0
2,D,24,725000,Middleton,0.0090,2019-2020,11.71428571,0,2.342857143,2.342857143,0.2,5,10.76666667,0.0000,-2,18,41,-16.4,147.6,0,16.4,16.4
2,D,25,2850000,Mccabe,0.0350,2018-2019,66,3,10,13,0.196969697,99,18.53333333,0.0400,-11,103,123,-13.66666667,127.969697,3.727272727,12.42424242,16.15151515
2,D,25,5600000,Nurse,0.0690,2018-2019,82,10,31,41,0.5,146,23.25,0.0510,-5,162,146,-5,162,10,31,41
2,D,25,4600000,Murray,0.0560,2018-2019,56,1,28,29,0.517857143,93,21.43333333,0.0140,20,17,136.1785714,29.28571429,24.89285714,1.464285714,41,42.46428571
2,D,25,1500000,Carrick,0.0180,2018-2019,34,2,9,11,0.323529412,37,16.8,0.0480,-13,25,89.23529412,-31.35294118,60.29411765,4.823529412,21.70588235,26.52941176
2,D,25,1500000,Reilly,0.0180,2018-2019,57,3,8,11,0.192982456,53,18.68333333,0.0300,0,48,76.24561404,0,69.05263158,4.315789474,11.50877193,15.8245614
2,D,25,1600000,Hagg,0.0200,2019-2020,57.4,3.514285714,11.71428571,15.22857143,0.265306122,79,15.6,0.0790,14,136,132.2040816,23.42857143,227.5918367,5.020408163,16.73469388,21.75510204
2,D,26,1400000,Oesterle,0.0180,2018-2019,71,6,14,20,0.281690141,97,20.51666667,0.0510,-3,62,112.028169,-3.464788732,71.6056338,6.929577465,16.16901408,23.09859155
2,D,26,1650000,Kukan,0.0200,2018-2019,25,0,5,5,0.2,28,15.96666667,0.0200,6,24,91.84,19.68,78.72,0,16.4,16.4
2,D,26,1700000,Stecher,0.0210,2019-2020,80.82857143,5.857142857,14.05714286,19.91428571,0.246376812,70,15.35,0.0580,10,69,83.1884058,11.88405797,82,5.942028986,14.26086957,20.20289855
2,D,26,875000,Macdermid,0.0110,2019-2020,52.71428571,3.514285714,5.857142857,9.371428571,0.177777778,43,13.71666667,0.0590,-9,95,78.35555556,-16.4,173.1111111,5.466666667,9.111111111,14.57777778
2,D,26,1000000,Benning,0.0120,2019-2020,50.37142857,1.171428571,8.2,9.371428571,0.186046512,34,13.23333333,0.0260,8,78,64.8372093,15.25581395,148.744186,1.906976744,13.34883721,15.25581395
2,D,26,5000000,Pulock,0.0610,2019-2020,79.65714286,11.71428571,29.28571429,41,0.514705882,139,22.4,0.0610,8,110,167.6176471,9.647058824,132.6470588,12.05882353,30.14705882,42.20588235
2,D,26,1200000,Brown,0.0150,2019-2020,65.6,3.514285714,5.857142857,9.371428571,0.142857143,53,13.41666667,0.0630,1,77,77.60714286,1.464285714,112.75,4.392857143,7.321428571,11.71428571
2,D,26,1150000,Riikola,0.0140,2019-2020,42.17142857,1.171428571,7.028571429,8.2,0.194444444,24,13.88333333,0.0260,3,74,54.66666667,6.833333333,168.5555556,2.277777778,13.66666667,15.94444444
3,D,21,4900000,Mcavoy,0.0600,2018-2019,54,7,21,28,0.518518519,91,23.16666667,0.0890,14,92,138.1851852,21.25925926,139.7037037,10.62962963,31.88888889,42.51851852
3,D,21,4800000,Sergachev,0.0590,2019-2020,82,11.71428571,28.11428571,39.82857143,0.485714286,99,20.36666667,0.0850,15,106,115.9714286,17.57142857,124.1714286,11.71428571,28.11428571,39.82857143
3,D,22,700000,Morin,0.0090,2017-2018,2,0,0,0,0,1,15.81666667,0.0000,1,7,41,41,287,0,0,0
3,D,22,5000000,Werenski,0.0610,2018-2019,82,11,33,44,0.536585366,67,22.9,0.0650,-12,40,67,-12,40,11,33,44
3,D,23,2550000,Myers,0.0310,2019-2020,58.57142857,4.685714286,14.05714286,18.74285714,0.32,44,17.1,0.0510,17,80,72.16,27.88,131.2,6.56,19.68,26.24
3,D,23,2950000,Cernak,0.0360,2019-2020,78.48571429,5.857142857,8.2,14.05714286,0.179104478,97,18.95,0.0400,11,172,118.7164179,13.46268657,210.5074627,6.119402985,8.567164179,14.68656716
3,D,24,1000000,Clifton,0.0120,2018-2019,19,0,1,1,0.052631579,13,17.7,0.0000,5,40,56.10526316,21.57894737,172.6315789,0,4.315789474,4.315789474
3,D,24,3733333,Butcher,0.0460,2018-2019,78,4,26,30,0.384615385,74,19.26666667,0.0370,-17,38,77.79487179,-17.87179487,39.94871795,4.205128205,27.33333333,31.53846154
3,D,24,2800000,Gavrikov,0.0340,2019-2020,80.82857143,5.857142857,15.22857143,21.08571429,0.260869565,92,18.98333333,0.0620,1,79,109.3333333,1.188405797,93.88405797,5.942028986,15.44927536,21.39130435
3,D,25,725000,Seeler,0.0090,2017-2018,22,0,4,4,0.181818182,12,13.53333333,0.0000,10,14,44.72727273,37.27272727,52.18181818,0,14.90909091,14.90909091
3,D,25,2137500,Oleksiak,0.0270,2017-2018,68,5,12,17,0.25,76,16.66666667,0.0620,7,174,91.64705882,8.441176471,209.8235294,6.029411765,14.47058824,20.5
3,D,25,775000,Poolman,0.0100,2017-2018,24,1,1,2,0.083333333,18,12.56666667,0.0370,2,20,61.5,6.833333333,68.33333333,3.416666667,3.416666667,6.833333333
3,D,25,1850000,Kulak,0.0230,2018-2019,57,6,11,17,0.298245614,64,17.85,0.0590,12,107,92.07017544,17.26315789,153.9298246,8.631578947,15.8245614,24.45614035
3,D,25,3160000,Graves,0.0390,2019-2020,80.82857143,10.54285714,19.91428571,30.45714286,0.376811594,150,18.95,0.0670,40,112,178.2608696,47.53623188,133.1014493,10.69565217,20.20289855,30.89855072
3,D,26,4000000,Gudbranson,0.0530,2016-2017,30,1,5,6,0.2,44,20.33333333,0.0250,-14,66,120.2666667,-38.26666667,180.4,2.733333333,13.66666667,16.4
3,D,26,2350000,Johns,0.0300,2017-2018,75,8,7,15,0.2,155,17.55,0.0610,10,201,169.4666667,10.93333333,219.76,8.746666667,7.653333333,16.4
3,D,26,1633333,Harrington,0.0200,2018-2019,73,2,15,17,0.232876712,811,13.05,0.0370,6,73,910.9863014,6.739726027,82,2.246575342,16.84931507,19.09589041
3,D,26,3250000,Weegar,0.0400,2019-2020,52.71428571,8.2,12.88571429,21.08571429,0.4,71,20.11666667,0.0910,6,76,129.3777778,10.93333333,138.4888889,12.75555556,20.04444444,32.8
3,D,26,2750000,Soucy,0.0340,2019-2020,64.42857143,8.2,8.2,16.4,0.254545455,50,15.63333333,0.1150,16,69,74.54545455,23.85454545,102.8727273,10.43636364,10.43636364,20.87272727
