Contract Length,Position,Age,Contract,Name,Cap %,Past 3 Years Avg ,Games,W,L,GAA,SV%,Win %
8,G,29,10500000,Price,0.14,2014-2015,45.66666667,29.33333333,16.33333333,2.12,0.931,0.642335766
6,G,30,4916667,Bishop,0.067,2015-2016,62,37.33333333,21.33333333,2.2,0.922,0.602150538
8,G,26,7000000,Rask,0.109,2012-2013,37.83333333,21.75925926,20.38888889,2.23,0.925,0.575134606
10,G,26,5800000,Quick,0.097,2011-2012,67.33333333,36.33333333,30,2.24,0.918,0.53960396
3,G,29,4250000,Raanta,0.057,2017-2018,34,16,13.66666667,2.25,0.926,0.470588235
3,G,26,3333333,Grubauer,0.042,2017-2018,27,12,10.33333333,2.25,0.923,0.444444444
8,G,25,6400000,Gibson,0.081,2017-2018,50.66666667,25.66666667,22.33333333,2.26,0.924,0.506578947
6,G,27,5750000,Jones,0.077,2015-2016,48.33333333,25.33333333,21,2.32,0.914,0.524137931
5,G,26,5000000,Andersen,0.07,2015-2016,41.66666667,25.66666667,12.66666667,2.33,0.918,0.616
4,G,25,4350000,Allen - 1,0.06,2015-2016,33.00,19,11,2.34,0.915,0.575757576
7,G,30,10000000,Bobrovsky,0.123,2016-2017,63.33333333,38.33333333,25,2.35,0.922,0.605263158
2,G,36,5000000,Rinne,0.0629,2017-2018,62,35.66666667,25.33333333,2.41,0.918,0.575268817
3,G,33,7000000,Fleury,0.088,2017-2018,47.33333333,27.33333333,19,2.46,0.92,0.577464789
3,G,34,3333333,Khudobin,0.041,2019-2020,34,16,15.66666667,2.46,0.922,0.470588235
2,G,29,4500000,Kuemper,0.055,2018-2019,34,15.66666667,16,2.52,0.919,0.460784314
8,G,25,9500000,Vasilevski,0.117,2018-2019,56,35.33333333,19.33333333,2.54,0.921,0.630952381
6,G,25,6166667,Hellebuyck,0.078,2017-2018,49.66666667,27.66666667,18.33333333,2.55,0.917,0.55704698
6,G,29,4333333,Dubnyk,0.061,2014-2015,43.33333333,20.33333333,20.33333333,2.56,0.917,0.469230769
3,G,25,3500000,Jarry,0.043,2019-2020,20.33333333,11.33333333,7.666666667,2.6,0.915,0.557377049
5,G,29,5000000,Lehner,0.061,2018-2019,45,19.33333333,22.66666667,2.67,0.919,0.42962963
2,G,35,3900000,Crawford,0.0479,2019-2020,35.66666667,15.33333333,19,2.7,0.917,0.429906542
1,G,34,2250000,Halak,0.0276,2019-2020,41.66666667,20,19.66666667,2.71,0.915,0.48
6,G,30,6000000,Markstrom,0.074,2019-2020,54.33333333,24.66666667,28.33333333,2.74,0.914,0.45398773
3,G,29,3000000,Bernier,0.038,2017-2018,38,17.33333333,17,2.75,0.912,0.456140351
1,G,38,1500000,Smith,0.0184,2019-2020,45.33333333,22.33333333,21.33333333,2.76,0.907,0.492647059
1,G,35,1500000,Elliott,0.0184,2019-2020,33.33333333,16.66666667,13.66666667,2.8,0.906,0.5
4,G,26,6250000,Murray,0.077,2018-2019,45.66666667,25.33333333,18.33333333,2.82,0.909,0.554744526
2,G,27,3125000,Mrazek,0.038,2018-2019,43,18.33333333,22,2.83,0.905,0.426356589
2,G,34,3600000,Greiss,0.044,2019-2020,33.66666667,17.33333333,13,2.84,0.912,0.514851485
5,G,28,3400000,Reimer,0.047,2015-2016,37,12.66666667,18.33333333,2.86,0.914,0.342342342
1,G,27,2600000,Ullmark,0.032,2019-2020,25.33333333,11,12.66666667,2.86,0.911,0.434210526
2,G,25,2800000,Korpi,0.034,2019-2020,27.33333333,12.33333333,12,2.87,0.903,0.451219512
4,G,31,5000000,Varlamov,0.061,2018-2019,41.33333333,16.66666667,22.33333333,2.89,0.911,0.403225806
2,G,31,4300000,Holtby,0.053,2019-2020,53.66666667,30.33333333,21.33333333,2.96,0.906,0.565217391
2,G,24,2425000,Georgiev,0.03,2019-2020,25.66666667,11.66666667,12.66666667,3,0.913,0.454545455
2,G,29,2600000,Nilsson,0.033,2018-2019,29.66666667,10.33333333,17.33333333,3.02,0.911,0.348314607
