Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,GP,G,A,P,P/GP,Plus/Minus/82,S%,TOI/G,Blocks/82,Hits/82,G/82,A/82,P/82
1,LW,23,874125,Perlini,0.0107,2018-2019,68,14,7,21,0.308823529,-20.5,0.1200,11.6,26.52941176,61.5,16.88235294,8.441176471,25.32352941
1,LW,23,735000,Balcers,0.0090,2019-2020,17.57142857,1.171428571,2.342857143,3.514285714,0.2,-10.93333333,0.0430,12.13333333,38.26666667,103.8666667,5.466666667,10.93333333,16.4
1,LW,24,2150000,Foegele,0.0260,2019-2020,79.65714286,15.22857143,19.91428571,35.14285714,0.441176471,10.85294118,0.1010,13.71666667,20.5,77.17647059,15.67647059,20.5,36.17647059
1,LW,25,3500000,Bertuzzi,0.0430,2019-2020,82,24.25352113,31.18309859,55.43661972,0.676056338,-26.56338028,0.1630,19.31666667,34.64788732,82,24.25352113,31.18309859,55.43661972
1,LW,25,997500,Erne,0.0120,2019-2020,65.6,2.342857143,3.514285714,5.857142857,0.089285714,-35.14285714,0.0320,11.81666667,36.60714286,207.9285714,2.928571429,4.392857143,7.321428571
1,LW,25,1700000,Duclair,0.0210,2019-2020,77.31428571,26.94285714,19.91428571,46.85714286,0.606060606,-6.212121212,0.1250,16.26666667,48.45454545,65.84848485,28.57575758,21.12121212,49.6969697
1,LW,25,700000,di Guiseppe,0.0090,2019-2020,23.42857143,1.171428571,3.514285714,4.685714286,0.2,4.1,0.0290,11.28333333,82,155.8,4.1,12.3,16.4
1,LW,25,700000,De La Rose,0.0090,2019-2020,58.57142857,2.342857143,8.2,10.54285714,0.18,3.28,0.0430,10.71666667,26.24,196.8,3.28,11.48,14.76
2,LW,22,2100000,Beauvillier,0.0260,2018-2019,81,18,10,28,0.345679012,1.012345679,0.1150,14.65,35.43209877,88.07407407,18.22222222,10.12345679,28.34567901
2,LW,22,700000,Dal Colle,0.0090,2018-2019,28,3,4,7,0.25,8.785714286,8.8.%,12.11666667,23.42857143,29.28571429,8.785714286,11.71428571,20.5
2,LW,23,3000000,Fiala,0.0370,2018-2019,83,13,26,39,0.469879518,-22.72289157,0.0750,15.63333333,19.75903614,41.4939759,12.84337349,25.68674699,38.53012048
2,LW,23,3350000,Vrana,0.0410,2018-2019,82,24,23,47,0.573170732,20,0.1490,14.03333333,32,47,24,23,47
2,LW,23,2100000,Greenway,0.0260,2019-2020,78.48571429,9.371428571,23.42857143,32.8,0.417910448,2.447761194,0.0860,14.16666667,53.85074627,116.2686567,9.791044776,24.47761194,34.26865672
2,LW,23,1500000,Blais,0.0180,2019-2020,46.85714286,7.028571429,8.2,15.22857143,0.325,-4.1,0.1070,12.58333333,30.75,317.75,12.3,14.35,26.65
2,LW,24,1200000,Khaira,0.0150,2018-2019,60,3,15,18,0.3,-16.4,0.0470,12.56666667,45.1,168.1,4.1,20.5,24.6
2,LW,24,2400000,Lehkonen,0.0290,2018-2019,82,11,20,31,0.37804878,10,0.0630,15.55,39,120,11,20,31
2,LW,24,3250000,Bucjnevic,0.0400,2018-2019,64,21,17,38,0.59375,-12.8125,0.1760,15.16666667,25.625,76.875,26.90625,21.78125,48.6875
2,LW,24,1500000,Sanford,0.0180,2018-2019,60,8,12,20,0.333333333,10.93333333,0.1040,12.58333333,50.56666667,65.6,10.93333333,16.4,27.33333333
2,LW,24,1700000,Milano,0.0210,2019-2020,64.42857143,8.2,18.74285714,26.94285714,0.418181818,-10.43636364,0.0930,13.1,19.38181818,38.76363636,10.43636364,23.85454545,34.29090909
2,LW,24,3675000,Debrusk,0.0450,2019-2020,76.14285714,22.25714286,18.74285714,41,0.538461538,-1.261538462,0.1180,16.05,18.92307692,44.15384615,23.96923077,20.18461538,44.15384615
2,LW,24,2425000,Mangiapane,0.0300,2019-2020,79.65714286,19.91428571,17.57142857,37.48571429,0.470588235,4.823529412,0.1560,13.7,20.5,88.02941176,20.5,18.08823529,38.58823529
2,LW,24,1550000,Lemieux,0.0190,2019-2020,69.11428571,7.028571429,14.05714286,21.08571429,0.305084746,-19.45762712,0.0700,12.86666667,72.27118644,227.9322034,8.338983051,16.6779661,25.01694915
2,LW,24,2940000,McCann,0.0360,2019-2020,77.31428571,16.4,24.6,41,0.53030303,7.454545455,0.0930,15.25,33.54545455,110.5757576,17.39393939,26.09090909,43.48484848
2,LW,24,2550000,Virtanen,0.0310,2019-2020,80.82857143,21.08571429,21.08571429,42.17142857,0.52173913,-4.753623188,0.1200,13.08333333,33.27536232,121.2173913,21.39130435,21.39130435,42.7826087
2,LW,25,925000,Goodrow,0.0120,2017-2018,47,7,7,14,0.29787234,1.744680851,0.1230,10.88333333,52.34042553,118.6382979,12.21276596,12.21276596,24.42553191
2,LW,25,2100000,McGinn,0.0260,2018-2019,82,10,16,26,0.317073171,10,0.0810,14.31666667,38,137,10,16,26
2,LW,25,3700000,Kubalik,0.0450,2019-2020,79.65714286,35.14285714,18.74285714,53.88571429,0.676470588,2.411764706,0.1910,14.36666667,20.5,95.26470588,36.17647059,19.29411765,55.47058824
2,LW,25,4900000,Burakovsky,0.0600,2019-2020,67.94285714,23.42857143,29.28571429,52.71428571,0.775862069,15.55172414,0.1940,15.2,48.06896552,36.75862069,28.27586207,35.34482759,63.62068966
2,LW,26,2000000,Martinook,0.0250,2017-2018,81,6,9,15,0.185185185,-24.2962963,0.0540,14.01666667,42.51851852,129.5802469,6.074074074,9.111111111,15.18518519
2,LW,26,700000,Andrew Agozzino,0.0090,2018-2019,11,1,1,2,0.181818182,14.90909091,0.0910,7.816666667,22.36363636,104.3636364,7.454545455,7.454545455,14.90909091
2,LW,26,900000,MacEachern,0.0110,2019-2020,59.74285714,8.2,3.514285714,11.71428571,0.196078431,3.215686275,0.1110,8.95,20.90196078,131.8431373,11.25490196,4.823529412,16.07843137
2,LW,26,1645000,Soup,0.0200,2019-2020,45.68571429,9.371428571,17.57142857,26.94285714,0.58974359,14.71794872,0.0820,15.58333333,27.33333333,54.66666667,16.82051282,31.53846154,48.35897436
3,LW,21,7000000,Matthew Tkatchuk,0.0860,2018-2019,80,34,43,77,0.9625,14.35,0.1640,17.6,13.325,106.6,34.85,44.075,78.925
3,LW,22,1533333,Ritchie,0.0210,2017-2018,76,10,17,27,0.355263158,3.236842105,0.0820,13.18333333,29.13157895,238.4473684,10.78947368,18.34210526,29.13157895
3,LW,22,1533333,Crouse,0.0190,2018-2019,81,11,14,25,0.308641975,5.061728395,0.0840,12.95,44.54320988,291.5555556,11.13580247,14.17283951,25.30864198
3,LW,22,2000000,Kempe,0.0245,2018-2019,81,12,16,28,0.345679012,-10.12345679,0.1020,14.5,21.25925926,87.0617284,12.14814815,16.19753086,28.34567901
3,LW,23,1600000,Bjork,0.0200,2019-2020,67.94285714,10.54285714,11.71428571,22.25714286,0.327586207,7.068965517,0.1360,12.93333333,29.68965517,60.79310345,12.72413793,14.13793103,26.86206897
3,LW,23,3150000,Hintz,0.0390,2019-2020,70.28571429,22.25714286,16.4,38.65714286,0.55,4.1,0.1580,14.75,38.26666667,99.76666667,25.96666667,19.13333333,45.1
3,LW,23,1133333,Wagner,0.0139,2019-2020,76.14285714,7.028571429,5.857142857,12.88571429,0.169230769,-6.307692308,0.0480,11.75,23.96923077,182.9230769,7.569230769,6.307692308,13.87692308
3,LW,23,3000000,Linblom,0.0370,2019-2020,35.14285714,12.88571429,8.2,21.08571429,0.6,10.93333333,0.1530,17.61666667,43.73333333,84.73333333,30.06666667,19.13333333,49.2
3,LW,24,2533333,Vatrano,0.0320,2017-2018,41,7,3,10,0.243902439,6,0.0970,10.83333333,30,102,14,6,20
3,LW,25,3367000,Baertschi,0.0420,2017-2018,53,14,15,29,0.547169811,4.641509434,0.1710,15.6,44.86792453,29.39622642,21.66037736,23.20754717,44.86792453
3,LW,25,2916667,Lowry,0.0370,2017-2018,45,8,13,21,0.466666667,20.77333333,0.1140,14.9,51.02222222,225.9555556,14.57777778,23.68888889,38.26666667
