Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,GP,G,A,P,P/GP,Plus/Minus/82,S%,TOI/G,Blocks/82,Hits/82,G/82,A/82,P/82
1,RW,26,700000,Reider,0.0090,2019-2020,64.42857143,4.685714286,7.028571429,11.71428571,0.181818182,-17.89090909,0.0520,11.08333333,38.76363636,44.72727273,5.963636364,8.945454545,14.90909091
2,RW,21,1175000,Puljujarvi,0.0140,2018-2019,46,4,5,9,0.195652174,-24.95652174,0.0750,11.95,46.34782609,82,7.130434783,8.913043478,16.04347826
2,RW,21,6750000,Laine,0.0830,2018-2019,82,30,20,50,0.609756098,-24,0.1220,17.23333333,44,70,30,20,50
2,RW,23,2550000,Gurianov,0.0310,2019-2020,74.97142857,23.42857143,10.54285714,33.97142857,0.453125,6.40625,0.1520,12.98333333,23.0625,80.71875,25.625,11.53125,37.15625
2,RW,24,1900000,Hartman,0.0230,2018-2019,83,12,14,26,0.313253012,0.987951807,0.0830,13.11666667,38.53012048,105.7108434,11.85542169,13.8313253,25.68674699
2,RW,24,1075000,Aube-Kubel,0.0130,2019-2020,42.17142857,8.2,9.371428571,17.57142857,0.416666667,2.277777778,0.1460,11.28333333,36.44444444,186.7777778,15.94444444,18.22222222,34.16666667
2,RW,25,3050000,Olofsson,0.0370,2019-2020,63.25714286,23.42857143,25.77142857,49.2,0.777777778,-1.518518519,0.1570,18.38333333,24.2962963,15.18518519,30.37037037,33.40740741,63.77777778
2,RW,25,2500000,Nichuckin,0.0310,2019-2020,76.14285714,15.22857143,16.4,31.62857143,0.415384615,32.8,0.1150,14.06666667,27.75384615,105.9692308,16.4,17.66153846,34.06153846
2,RW,26,1500000,Sorensen,0.0190,2017-2018,32,5,2,7,0.21875,-12.8125,0.2000,10.15,38.4375,66.625,12.8125,5.125,17.9375
2,RW,26,725000,Frk,0.0090,2019-2020,19.91428571,7.028571429,2.342857143,9.371428571,0.470588235,-4.823529412,0.2310,13.83333333,14.47058824,67.52941176,28.94117647,9.647058824,38.58823529
3,RW,21,6400000,Debrincat,0.0790,2018-2019,82,41,35,76,0.926829268,0,0.1860,17.7,26,35,41,35,76
3,RW,22,2600000,Kase,0.0330,2017-2018,66,20,18,38,0.575757576,22.36363636,0.1370,13.91666667,32.3030303,34.78787879,24.84848485,22.36363636,47.21212121
3,RW,22,3200000,Kapanen,0.0390,2018-2019,78,20,24,44,0.564102564,12.61538462,0.1150,16.61666667,19.97435897,96.71794872,21.02564103,25.23076923,46.25641026
3,RW,22,5875000,Boeser,0.0720,2018-2019,69,26,30,56,0.811594203,-2.376811594,0.1240,19.16666667,26.14492754,16.63768116,30.89855072,35.65217391,66.55072464
3,RW,22,1450000,Troy Terry,0.0180,2019-2020,55.05714286,4.685714286,12.88571429,17.57142857,0.319148936,-8.723404255,0.0550,14.51666667,15.70212766,5.234042553,6.978723404,19.19148936,26.17021277
3,RW,22,750000,Joey Anderson,0.0090,2019-2020,21.08571429,4.685714286,2.342857143,7.028571429,0.333333333,4.555555556,0.1900,13.21666667,27.33333333,72.88888889,18.22222222,9.111111111,27.33333333
3,RW,23,2500000,Bjorstrand,0.0310,2017-2018,82,11,29,40,0.487804878,4,0.0670,14.3,43,64,11,29,40
3,RW,26,3600000,Brown,0.0440,2019-2020,82,18.47887324,31.18309859,49.66197183,0.605633803,-6.929577465,0.0920,20.11666667,40.42253521,45.04225352,18.47887324,31.18309859,49.66197183
