Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,GP,G,A,P,P/GP,Blocks,TOI/G,S%,Plus/Minus,Hits,Blocks/82,Plus/minus/82,Hits/82,G/82,A/82,P/82
8,D,20,7500000,Ekblad,10.30%,2015-2016,78,15,21,36,0.461538462,59,21.68333333,8.20%,18,87,62.02564103,18.92307692,91.46153846,15.76923077,22.07692308,37.84615385
6,D,20,4600000,Chychrun,5.80%,2017-2018,50,4,10,14,0.28,95,22.43333333,8.10%,2,75,155.8,3.28,123,6.56,16.4,22.96
6,D,21,4166667,Brodin-1,6%,2013-2014,79,8,11,19,0.240506329,117,23.9,10.80%,0,33,121.443038,0,34.25316456,8.303797468,11.41772152,19.72151899
7,D,21,4167000,Klefbom,5.70%,2014-2015,60,2,18,20,0.333333333,102,22,2%,-21,45,139.4,-28.7,61.5,2.733333333,24.6,27.33333333
6,D,21,5400000,Risto,7.40%,2015-2016,82,9,32,41,0.5,137,25.28333333,4.50%,-21,139,137,-21,139,9,32,41
6,D,21,5400000,Jones,7.40%,2015-2016,82,3,28,31,0.37804878,118,22.08333333,1.90%,-14,86,118,-14,86,3,28,31
6,D,21,4083333,Maatta,5.70%,2015-2016,67,6,13,19,0.28358209,87,19.96666667,6.30%,27,81,106.4776119,33.04477612,99.13432836,7.343283582,15.91044776,23.25373134
6,D,21,4950000,Hanifin,6.20%,2017-2018,79,10,22,32,0.405063291,69,18.86666667,6.10%,-20,81,71.62025316,-20.75949367,84.07594937,10.37974684,22.83544304,33.21518987
3,D,21,4900000,Mcavoy,6.00%,2018-2019,54,7,21,28,0.518518519,91,23.16666667,8.90%,14,92,138.1851852,21.25925926,139.7037037,10.62962963,31.88888889,42.51851852
7,D,21,5000000,Girard,6.10%,2018-2019,82,4,23,27,0.329268293,92,21.31666667,4.20%,8,46,92,8,46,4,23,27
3,D,21,4800000,Sergachev,5.90%,2019-2020,82,11.71428571,28.11428571,39.82857143,0.485714286,99,20.36666667,8.50%,15,106,115.9714286,17.57142857,124.1714286,11.71428571,28.11428571,39.82857143
7,D,22,3857143,Hamonic,6.00%,2012-2013,82,5.125,11.95833333,17.08333333,0.208333333,109,22.8,3.60%,-8,59,186.2083333,-13.66666667,100.7916667,5.125,11.95833333,17.08333333
6,D,22,5750000,Hamilton,8.10%,2014-2015,72,10,32,42,0.583333333,53,21.33333333,5.30%,-3,103,60.36111111,-3.416666667,117.3055556,11.38888889,36.44444444,47.83333333
7,D,22,4250000,Klingberg,6.20%,2014-2015,65,11,29,40,0.615384615,77,21.83333333,11.20%,5,54,97.13846154,6.307692308,68.12307692,13.87692308,36.58461538,50.46153846
6,D,22,4166667,Larsson,5.80%,2014-2015,64,3,21,24,0.375,124,20.96666667,3.30%,2,93,158.875,2.5625,119.15625,3.84375,26.90625,30.75
6,D,22,5250000,Hampus Lindholm,7.20%,2015-2016,80,10,18,28,0.35,68,21.76666667,6.70%,7,115,69.7,7.175,117.875,10.25,18.45,28.7
6,D,22,5000000,Rielly,7%,2015-2016,47,3,24,27,0.574468085,122,23.23333333,5.40%,6,58,212.8510638,10.46808511,101.1914894,5.234042553,41.87234043,47.10638298
4,D,22,1600000,Pelech,2.10%,2016-2017,44,3,7,10,0.227272727,68,16.83333333,7.50%,-5,73,126.7272727,-9.318181818,136.0454545,5.590909091,13.04545455,18.63636364
3,D,22,700000,Morin,0.90%,2017-2018,2,0,0,0,0,1,15.81666667,0%,1,7,41,41,287,0,0,0
2,D,22,2850000,Carlo,3.50%,2018-2019,72,2,8,10,0.138888889,88,20.91666667,1.70%,22,134,100.2222222,25.05555556,152.6111111,2.277777778,9.111111111,11.38888889
2,D,22,850000,Lauzon,1.00%,2018-2019,16,1,0,1,0.0625,23,15.53333333,9.10%,-1,32,117.875,-5.125,164,5.125,0,5.125
3,D,22,5000000,Werenski,6.10%,2018-2019,82,11,33,44,0.536585366,67,22.9,6.50%,-12,40,67,-12,40,11,33,44
2,D,22,850000,Jones,1%,2018-2019,17,1,5,6,0.352941176,18,19.8,4.80%,-9,20,86.82352941,-43.41176471,96.47058824,4.823529412,24.11764706,28.94117647
8,D,22,8000000,Chabot,9.80%,2018-2019,70,14,41,55,0.785714286,112,24.28333333,7.60%,-12,71,131.2,-14.05714286,83.17142857,16.4,48.02857143,64.42857143
6,D,22,6750000,Provorov,8.30%,2018-2019,82,7,19,26,0.317073171,149,25.11666667,4.80%,-16,123,149,-16,123,7,19,26
1,D,22,735000,Mete,0.90%,2019-2020,59.74285714,4.685714286,8.2,12.88571429,0.215686275,60,16,7%,5,20,96.47058824,8.039215686,32.15686275,6.431372549,11.25490196,17.68627451
7,D,23,5500000,Leddy,8%,2013-2014,82,7,24,31,0.37804878,45,16.36666667,5.70%,10,52,45,10,52,7,24,31
6,D,23,3850000,Murphy,5.30%,2015-2016,78,6,11,17,0.217948718,139,20.5,5.90%,5,175,146.1282051,5.256410256,183.974359,6.307692308,11.56410256,17.87179487
7,D,23,5300000,Slavin,7.10%,2016-2017,82,5,29,34,0.414634146,161,23.43333333,5.10%,23,35,161,23,35,5,29,34
6,D,23,4166667,Severson,5.60%,2016-2017,80,3,28,31,0.3875,72,20.35,2.40%,-31,79,73.8,-31.775,80.975,3.075,28.7,31.775
8,D,23,4875000,Matheson,6.50%,2016-2017,81,7,10,17,0.209876543,118,21.05,3.90%,-5,69,119.4567901,-5.061728395,69.85185185,7.086419753,10.12345679,17.20987654
4,D,23,2700000,Nutivaara,3.60%,2017-2018,61,7,16,23,0.37704918,40,16.03333333,8.90%,13,42,53.7704918,17.47540984,56.45901639,9.409836066,21.50819672,30.91803279
5,D,23,6000000,Dumba,7.50%,2017-2018,82,14,36,50,0.609756098,112,23.81666667,8%,15,136,112,15,136,14,36,50
7,D,23,5200000,Theodore,6.50%,2017-2018,61,6,23,29,0.475409836,70,20.35,4.20%,5,29,94.09836066,6.721311475,38.98360656,8.06557377,30.91803279,38.98360656
6,D,23,4550000,Andersson,5.60%,2018-2019,79,2,17,19,0.240506329,83,16.03333333,1.70%,17,52,86.15189873,17.64556962,53.97468354,2.075949367,17.64556962,19.72151899
2,D,23,3250000,Sanheim,4%,2018-2019,82,9,26,35,0.426829268,133,19.56666667,7.40%,-4,45,133,-4,45,9,26,35
2,D,23,3000000,Pionk,3.70%,2018-2019,73,6,20,26,0.356164384,98,21.16666667,4.50%,-16,138,110.0821918,-17.97260274,155.0136986,6.739726027,22.46575342,29.20547945
2,D,23,1200000,Jacob Larsson,1.50%,2019-2020,70.28571429,2.342857143,10.54285714,12.88571429,0.183333333,57,16.15,3.40%,-9,34,77.9,-12.3,46.46666667,2.733333333,12.3,15.03333333
1,D,23,787500,Kylington,1%,2019-2020,56.22857143,2.342857143,5.857142857,8.2,0.145833333,34,13.7,5.40%,-6,36,58.08333333,-10.25,61.5,3.416666667,8.541666667,11.95833333
2,D,23,725000,Carlsson,0.90%,2019-2020,7.028571429,0,0,0,0,0,10.88333333,0%,-1,5,0,-13.66666667,68.33333333,0,0,0
3,D,23,2550000,Myers,3.10%,2019-2020,58.57142857,4.685714286,14.05714286,18.74285714,0.32,44,17.1,5.10%,17,80,72.16,27.88,131.2,6.56,19.68,26.24
5,D,23,4025175,Pettersson,4.90%,2019-2020,69,2.342857143,23.42857143,25.77142857,0.373498965,84,19.4,2.50%,9,106,116.9391304,12.52919255,147.5660455,2.78426501,27.8426501,30.62691511
3,D,23,2950000,Cernak,3.60%,2019-2020,78.48571429,5.857142857,8.2,14.05714286,0.179104478,97,18.95,4%,11,172,118.7164179,13.46268657,210.5074627,6.119402985,8.567164179,14.68656716
1,D,23,874125,Dermott,1.10%,2019-2020,65.6,4.685714286,8.2,12.88571429,0.196428571,58,17.31666667,6.20%,14,76,84.92857143,20.5,111.2857143,5.857142857,10.25,16.10714286
2,D,23,725000,Whitecloud,0.90%,2019-2020,18.74285714,0,1.171428571,1.171428571,0.0625,16,14.31666667,0%,3,10,82,15.375,51.25,0,5.125,5.125
1,D,23,800000,Siegenthaler,1%,2019-2020,78.48571429,2.342857143,8.2,10.54285714,0.134328358,105,15.73333333,4.10%,11,51,128.5074627,13.46268657,62.41791045,2.447761194,8.567164179,11.01492537
5,D,24,4250000,Savard,6%,2014-2015,82,11,25,36,0.43902439,105,22.95,9.80%,0,195,105,0,195,11,25,36
6,D,24,4500000,Gostisbehere,6.20%,2016-2017,76,7,32,39,0.513157895,94,19.71666667,3.50%,-21,43,101.4210526,-22.65789474,46.39473684,7.552631579,34.52631579,42.07894737
5,D,24,5500000,Parayko,7.30%,2016-2017,81,4,31,35,0.432098765,117,21.2,2.10%,7,80,118.4444444,7.086419753,80.98765432,4.049382716,31.38271605,35.43209877
6,D,24,5250000,Skjei,6.60%,2017-2018,82,4,21,25,0.304878049,119,21.23333333,6.30%,-27,127,119,-27,127,4,21,25
3,D,24,1000000,Clifton,1.20%,2018-2019,19,0,1,1,0.052631579,13,17.7,0,5,40,56.10526316,21.57894737,172.6315789,0,4.315789474,4.315789474
6,D,24,5800000,Lindell,7.30%,2018-2019,82,11,21,32,0.390243902,161,24.33333333,8.30%,14,143,161,14,143,11,21,32
2,D,24,700000,Roy,0.90%,2018-2019,25,2,4,6,0.24,47,17.13333333,5.90%,-1,38,154.16,-3.28,124.64,6.56,13.12,19.68
3,D,24,3733333,Butcher,4.60%,2018-2019,78,4,26,30,0.384615385,74,19.26666667,3.70%,-17,38,77.79487179,-17.87179487,39.94871795,4.205128205,27.33333333,31.53846154
1,D,24,1400000,Mueller,1.72%,2018-2019,53,1,10,11,0.20754717,61,18.06666667,2.60%,-3,75,94.37735849,-4.641509434,116.0377358,1.547169811,15.47169811,17.01886792
2,D,24,850000,Dahlstrom,1.10%,2018-2019,15,0,1,1,0.066666667,13,14.76666667,0%,-4,5,71.06666667,-21.86666667,27.33333333,0,5.466666667,5.466666667
8,D,24,6250000,Morrissey,7.70%,2018-2019,59,6,25,31,0.525423729,107,22.4,6.30%,9,55,148.7118644,12.50847458,76.44067797,8.338983051,34.74576271,43.08474576
2,D,24,1300000,Haydn Fleury,1.60%,2019-2020,52.71428571,4.685714286,11.71428571,16.4,0.311111111,45,13.66666667,6.20%,-2,48,82,-3.644444444,87.46666667,7.288888889,18.22222222,25.51111111
1,D,24,3200000,Zadorov,3.90%,2019-2020,74.97142857,4.685714286,10.54285714,15.22857143,0.203125,175,17.76666667,6.20%,6,23,224.21875,7.6875,29.46875,5.125,11.53125,16.65625
3,D,24,2800000,Gavrikov,3.40%,2019-2020,80.82857143,5.857142857,15.22857143,21.08571429,0.260869565,92,18.98333333,6.20%,1,79,109.3333333,1.188405797,93.88405797,5.942028986,15.44927536,21.39130435
1,D,24,700000,Mermis,0.90%,2019-2020,11.71428571,1.171428571,3.514285714,4.685714286,0.4,20,19.21666667,5.90%,7,21,164,57.4,172.2,8.2,24.6,32.8
2,D,24,4800000,Deangelo,5.90%,2019-2020,79.65714286,17.57142857,44.51428571,62.08571429,0.779411765,57,19.28333333,10.10%,12,48,68.73529412,14.47058824,57.88235294,18.08823529,45.82352941,63.91176471
