Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,GP,G,A,P,P/GP,Plus/Minus/82,S%,TOI/G,Blocks/82,Hits/82,G/82,A/82,P/82
7,LW,20,5571429,Landeskog,8.70%,2012-2013,61.5,15.375,13.66666667,29.04166667,0.472222222,-9.111111111,8.30%,19.33333333,72.88888889,195.8888889,20.5,18.22222222,38.72222222
7,LW,21,6000000,Ehlers,8%,2016-2017,82,25,39,64,0.780487805,1,12.30%,17.48333333,28,43,25,39,64
3,LW,21,7000000,Matthew Tkatchuk,8.60%,2018-2019,80,34,43,77,0.9625,14.35,16.40%,17.6,13.325,106.6,34.85,44.075,78.925
13,LW,22,9538462,Ovi,19%,2006-2007,82,46,46,92,1.12195122,-19,11.70%,21.38333333,30,205,46,46,92
6,LW,22,6000000,Saad,8.20%,2014-2015,82,23,29,52,0.634146341,7,11.30%,17.25,29,53,23,29,52
6,LW,22,5500000,Drouin,7.50%,2016-2017,73,21,32,53,0.726027397,-14.60273973,11.50%,17.7,17.97260274,56.16438356,23.5890411,35.94520548,59.53424658
3,LW,22,1533333,Ritchie,2.10%,2017-2018,76,10,17,27,0.355263158,3.236842105,8.20%,13.18333333,29.13157895,238.4473684,10.78947368,18.34210526,29.13157895
3,LW,22,1533333,Crouse,1.90%,2018-2019,81,11,14,25,0.308641975,5.061728395,8.40%,12.95,44.54320988,291.5555556,11.13580247,14.17283951,25.30864198
3,LW,22,2000000,Kempe,2.45%,2018-2019,81,12,16,28,0.345679012,-10.12345679,10.20%,14.5,21.25925926,87.0617284,12.14814815,16.19753086,28.34567901
2,LW,22,2100000,Beauvillier,2.60%,2018-2019,81,18,10,28,0.345679012,1.012345679,11.50%,14.65,35.43209877,88.07407407,18.22222222,10.12345679,28.34567901
2,LW,22,700000,Dal Colle,0.90%,2018-2019,28,3,4,7,0.25,8.785714286,8.8.%,12.11666667,23.42857143,29.28571429,8.785714286,11.71428571,20.5
4,LW,22,6000000,Meier,7.40%,2018-2019,78,30,36,66,0.846153846,9.461538462,12%,16.96666667,42.05128205,104.0769231,31.53846154,37.84615385,69.38461538
7,LW,22,7142857,Connor,8.80%,2018-2019,82,34,32,66,0.804878049,-7,15%,19.25,21,9,34,32,66
6,LW,23,6750000,Gaudreau,9.20%,2015-2016,79,30,48,78,0.987341772,4.151898734,13.80%,19.93333333,10.37974684,26.98734177,31.13924051,49.82278481,80.96202532
6,LW,23,5900000,Huberdeau,8.10%,2015-2016,76,20,39,59,0.776315789,18.34210526,11.50%,18.15,38.84210526,57.18421053,21.57894737,42.07894737,63.65789474
4,LW,23,2750000,Wood,3.50%,2017-2018,76,19,13,32,0.421052632,-6.473684211,11.20%,12.46666667,23.73684211,80.92105263,20.5,14.02631579,34.52631579
1,LW,23,874125,Perlini,1.07%,2018-2019,68,14,7,21,0.308823529,-20.5,12%,11.6,26.52941176,61.5,16.88235294,8.441176471,25.32352941
2,LW,23,3000000,Fiala,3.70%,2018-2019,83,13,26,39,0.469879518,-22.72289157,7.50%,15.63333333,19.75903614,41.4939759,12.84337349,25.68674699,38.53012048
2,LW,23,3350000,Vrana,4.10%,2018-2019,82,24,23,47,0.573170732,20,14.90%,14.03333333,32,47,24,23,47
3,LW,23,1600000,Bjork,2.00%,2019-2020,67.94285714,10.54285714,11.71428571,22.25714286,0.327586207,7.068965517,13.60%,12.93333333,29.68965517,60.79310345,12.72413793,14.13793103,26.86206897
3,LW,23,3150000,Hintz,3.90%,2019-2020,70.28571429,22.25714286,16.4,38.65714286,0.55,4.1,15.80%,14.75,38.26666667,99.76666667,25.96666667,19.13333333,45.1
3,LW,23,1133333,Wagner,1.39%,2019-2020,76.14285714,7.028571429,5.857142857,12.88571429,0.169230769,-6.307692308,4.80%,11.75,23.96923077,182.9230769,7.569230769,6.307692308,13.87692308
2,LW,23,2100000,Greenway,2.60%,2019-2020,78.48571429,9.371428571,23.42857143,32.8,0.417910448,2.447761194,8.60%,14.16666667,53.85074627,116.2686567,9.791044776,24.47761194,34.26865672
1,LW,23,735000,Balcers,0.90%,2019-2020,17.57142857,1.171428571,2.342857143,3.514285714,0.2,-10.93333333,4.30%,12.13333333,38.26666667,103.8666667,5.466666667,10.93333333,16.4
3,LW,23,3000000,Linblom,3.70%,2019-2020,35.14285714,12.88571429,8.2,21.08571429,0.6,10.93333333,15.30%,17.61666667,43.73333333,84.73333333,30.06666667,19.13333333,49.2
2,LW,23,1500000,Blais,1.80%,2019-2020,46.85714286,7.028571429,8.2,15.22857143,0.325,-4.1,10.70%,12.58333333,30.75,317.75,12.3,14.35,26.65
5,LW,24,5350000,Schwartz,7.30%,2015-2016,33,8,14,22,0.666666667,19.87878788,12.70%,17.2,52.18181818,64.60606061,19.87878788,34.78787879,54.66666667
7,LW,24,4250000,Arvidsson,5.70%,2016-2017,80,31,30,61,0.7625,16.4,12.60%,17.15,46.125,23.575,31.775,30.75,62.525
4,LW,24,3750000,Pearson,5.10%,2016-2017,80,24,20,44,0.55,5.125,12.80%,16.31666667,31.775,127.1,24.6,20.5,45.1
5,LW,24,5400000,Teuvo,6.80%,2017-2018,82,23,41,64,0.780487805,8,12.40%,16.88333333,22,26,23,41,64
3,LW,24,2533333,Vatrano,3.20%,2017-2018,41,7,3,10,0.243902439,6,9.70%,10.83333333,30,102,14,6,20
4,LW,24,1000000,Johnston,1.30%,2017-2018,24,3,3,6,0.25,0,15.80%,9.333333333,37.58333333,157.1666667,10.25,10.25,20.5
2,LW,24,1200000,Khaira,1.50%,2018-2019,60,3,15,18,0.3,-16.4,4.70%,12.56666667,45.1,168.1,4.1,20.5,24.6
2,LW,24,2400000,Lehkonen,2.90%,2018-2019,82,11,20,31,0.37804878,10,6.30%,15.55,39,120,11,20,31
4,LW,24,3400000,Johnsson,4.20%,2018-2019,73,20,23,43,0.589041096,15.7260274,15.40%,13.66666667,40.43835616,67.39726027,22.46575342,25.83561644,48.30136986
2,LW,24,3250000,Bucjnevic,4%,2018-2019,64,21,17,38,0.59375,-12.8125,17.60%,15.16666667,25.625,76.875,26.90625,21.78125,48.6875
