Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,GP,G,A,P,P/GP,Plus/Minus/82,S%,TOI/G,Blocks/82,Hits/82,G/82,A/82,P/82
6,RW,21,6666667,Pasta,8.90%,2016-2017,75,34,36,70,0.933333333,12.02666667,13.00%,17.98333333,34.98666667,78.72,37.17333333,39.36,76.53333333
3,RW,21,6400000,Debrincat,7.90%,2018-2019,82,41,35,76,0.926829268,0,18.60%,17.7,26,35,41,35,76
2,RW,21,1175000,Puljujarvi,1.40%,2018-2019,46,4,5,9,0.195652174,-24.95652174,7.50%,11.95,46.34782609,82,7.130434783,8.913043478,16.04347826
2,RW,21,6750000,Laine,8.30%,2018-2019,82,30,20,50,0.609756098,-24,12.20%,17.23333333,44,70,30,20,50
6,RW,22,3750000,Gallagher-1,5.40%,2013-2014,81,19,22,41,0.50617284,4.049382716,9%,15.96666667,36.44444444,38.4691358,19.2345679,22.27160494,41.50617284
3,RW,22,2600000,Kase,3.30%,2017-2018,66,20,18,38,0.575757576,22.36363636,13.70%,13.91666667,32.3030303,34.78787879,24.84848485,22.36363636,47.21212121
6,RW,22,6900000,Willy,8.80%,2017-2018,82,20,41,61,0.743902439,20,10.90%,16.68333333,18,21,20,41,61
7,RW,22,4750000,Tuch,6.00%,2017-2018,78,15,22,37,0.474358974,3.153846154,8.80%,15.25,44.15384615,104.0769231,15.76923077,23.12820513,38.8974359
6,RW,22,9250000,Rantanen,11.30%,2018-2019,74,31,56,87,1.175675676,14.40540541,16.10%,20.85,45.43243243,65.37837838,34.35135135,62.05405405,96.40540541
3,RW,22,3200000,Kapanen,3.90%,2018-2019,78,20,24,44,0.564102564,12.61538462,11.50%,16.61666667,19.97435897,96.71794872,21.02564103,25.23076923,46.25641026
6,RW,22,10893000,Marner,13.40%,2018-2019,82,26,68,94,1.146341463,22,11.20%,19.81666667,43,29,26,68,94
3,RW,22,5875000,Boeser,7.20%,2018-2019,69,26,30,56,0.811594203,-2.376811594,12.40%,19.16666667,26.14492754,16.63768116,30.89855072,35.65217391,66.55072464
3,RW,22,1450000,Troy Terry,1.80%,2019-2020,55.05714286,4.685714286,12.88571429,17.57142857,0.319148936,-8.723404255,5.50%,14.51666667,15.70212766,5.234042553,6.978723404,19.19148936,26.17021277
3,RW,22,750000,Joey Anderson,0.90%,2019-2020,21.08571429,4.685714286,2.342857143,7.028571429,0.333333333,4.555555556,19.00%,13.21666667,27.33333333,72.88888889,18.22222222,9.111111111,27.33333333
8,RW,23,7500000,Tarasenko,10.50%,2014-2015,77,37,36,73,0.948051948,28.75324675,14%,17.61666667,19.16883117,34.07792208,39.4025974,38.33766234,77.74025974
3,RW,23,2500000,Bjorstrand,3.10%,2017-2018,82,11,29,40,0.487804878,4,6.70%,14.3,43,64,11,29,40
2,RW,23,2550000,Gurianov,3.10%,2019-2020,74.97142857,23.42857143,10.54285714,33.97142857,0.453125,6.40625,15.20%,12.98333333,23.0625,80.71875,25.625,11.53125,37.15625
5,RW,24,5250000,Nino Niederreiter,7.00%,2016-2017,82,25,32,57,0.695121951,17,13.40%,15.06666667,20,120,25,32,57
6,RW,24,5166667,Wilson,6.50%,2017-2018,78,14,21,35,0.448717949,10.51282051,11.40%,15.98333333,53.61538462,262.8205128,14.71794872,22.07692308,36.79487179
2,RW,24,1900000,Hartman,2.30%,2018-2019,83,12,14,26,0.313253012,0.987951807,8.30%,13.11666667,38.53012048,105.7108434,11.85542169,13.8313253,25.68674699
2,RW,24,1075000,Aube-Kubel,1.30%,2019-2020,42.17142857,8.2,9.371428571,17.57142857,0.416666667,2.277777778,14.60%,11.28333333,36.44444444,186.7777778,15.94444444,18.22222222,34.16666667
4,RW,24,4725000,LeBanc,5.80%,2019-2020,82,16.4,22.25714286,38.65714286,0.471428571,-38.65714286,8.00%,16.06666667,28.11428571,53.88571429,16.4,22.25714286,38.65714286
8,RW,25,8000000,Kessel,12.40%,2012-2013,82,34.16666667,54.66666667,88.83333333,1.083333333,-5.125,12.40%,19.81666667,39.29166667,27.33333333,34.16666667,54.66666667,88.83333333
8,RW,25,10500000,Kane,15.20%,2013-2014,69,29,40,69,1,8.31884058,12.80%,19.61666667,17.82608696,19.01449275,34.46376812,47.53623188,82
8,RW,25,8250000,Voracek,11.60%,2014-2015,82,22,59,81,0.987804878,1,10.00%,18.6,28,55,22,59,81
5,RW,25,4650000,Palmeri,6.40%,2015-2016,82,30,27,57,0.695121951,3,13.50%,17.8,51,129,30,27,57
5,RW,25,5000000,Smith,6.80%,2015-2016,82,25,25,50,0.609756098,19,14.50%,18.61666667,39,85,25,25,50
8,RW,25,9500000,Kucherov,11.90%,2017-2018,80,39,61,100,1.25,15.375,14.00%,19.81666667,15.375,31.775,39.975,62.525,102.5
2,RW,25,3050000,Olofsson,3.70%,2019-2020,63.25714286,23.42857143,25.77142857,49.2,0.777777778,-1.518518519,15.70%,18.38333333,24.2962963,15.18518519,30.37037037,33.40740741,63.77777778
2,RW,25,2500000,Nichuckin,3.10%,2019-2020,76.14285714,15.22857143,16.4,31.62857143,0.415384615,32.8,11.50%,14.06666667,27.75384615,105.9692308,16.4,17.66153846,34.06153846
4,RW,26,5700000,Mantha,7.70%,2017-2018,80,24,24,48,0.6,-1.025,12.60%,17.3,26.65,93.275,24.6,24.6,49.2
4,RW,26,3500000,Rust,4.40%,2017-2018,69,13,25,38,0.550724638,13.07246377,10.60%,16.05,47.53623188,115.2753623,15.44927536,29.71014493,45.15942029
2,RW,26,1500000,Sorensen,1.90%,2017-2018,32,5,2,7,0.21875,-12.8125,20.00%,10.15,38.4375,66.625,12.8125,5.125,17.9375
8,RW,26,9500000,Stone,11.90%,2018-2019,77,33,40,73,0.948051948,18.1038961,16.60%,19.88333333,75.61038961,76.67532468,35.14285714,42.5974026,77.74025974
1,RW,26,700000,Reider,0.90%,2019-2020,64.42857143,4.685714286,7.028571429,11.71428571,0.181818182,-17.89090909,5.20%,11.08333333,38.76363636,44.72727273,5.963636364,8.945454545,14.90909091
2,RW,26,725000,Frk,0.90%,2019-2020,19.91428571,7.028571429,2.342857143,9.371428571,0.470588235,-4.823529412,23.10%,13.83333333,14.47058824,67.52941176,28.94117647,9.647058824,38.58823529
7,RW,26,5500000,Anderson,6.70%,2019-2020,30.45714286,1.171428571,3.514285714,4.685714286,0.153846154,-25.23076923,1.60%,16.06666667,41,214.4615385,3.153846154,9.461538462,12.61538462
3,RW,26,3600000,Brown,4.40%,2019-2020,82,18.47887324,31.18309859,49.66197183,0.605633803,-6.929577465,9.20%,20.11666667,40.42253521,45.04225352,18.47887324,31.18309859,49.66197183
4,RW,27,2350000,Weise,3.22%,2015-2016,71,14,13,27,0.38028169,4.61971831,10.30%,13.41666667,30.02816901,146.6760563,16.16901408,15.01408451,31.18309859
4,RW,27,3900000,Donskoi,4.80%,2018-2019,80,14,23,37,0.4625,10.25,12.20%,13.41666667,36.9,36.9,14.35,23.575,37.925
4,RW,27,3500000,Connolly,4.30%,2018-2019,81,22,24,46,0.567901235,13.16049383,15.80%,13.33333333,25.30864198,53.65432099,22.27160494,24.2962963,46.56790123
2,RW,27,2600000,Armia,3.20%,2018-2019,57,13,10,23,0.403508772,0,9.70%,15.8,30.21052632,162.5614035,18.70175439,14.38596491,33.0877193
1,RW,27,850000,Kuhnackl,1.04%,2018-2019,36,4,5,9,0.25,2.277777778,13.30%,12.68333333,93.38888889,109.3333333,9.111111111,11.38888889,20.5
4,RW,27,1500000,Hathaway,1.80%,2018-2019,76,11,8,19,0.25,15.10526316,14.30%,10.53333333,38.84210526,215.7894737,11.86842105,8.631578947,20.5
